"address","hostpital"
"東京都千代田区富士見1-9-20 ","日本歯科大学生命歯学部歯科矯正学講座"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区富士見2-3-16 ","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田三崎町2-9-18","東京歯科大学水道橋病院歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部附属病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学教室"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田小川町3-2 サニービル3F","臼田歯科医院"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都千代田区富士見2-3-16 ","日本歯科大学附属病院矯正歯科"
"東京都千代田区三崎町2-9-18 ","東京歯科大学水道橋病院"
"東京都千代田区富士見2-3-16 ","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区神田淡路町1-3-1 トーハン淡路町ビル1F","ジュネス歯科クリニック"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区富士見2-3-16","日本歯科大学附属病院矯正歯科"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都千代田区神田三崎町2-9-18","東京歯科大学水道橋病院歯科矯正学講座"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区飯田橋4-1-11 信濃ビル2F","医療法人社団スマイルエッセンス スマイル歯科・矯正歯科"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部付属歯科病院歯科矯正学講座"
"東京都千代田区神田三崎町3-4-2 ","かい歯科医院"
"東京都千代田区神田駿河台1-8-13","日本大学歯学部歯科矯正学講座"
"東京都千代田区神田三崎町2-9-18","東京歯科大学水道橋病院歯科矯正学講座"
