"address","hostpital"
"東京都中央区日本橋室町1-9-1 日本橋室町ビル5F","医療法人社団 早蕨会 日本橋矯正歯科"
"東京都中央区日本橋堀留町2-1-15 3F","日本橋人形町ジェム矯正歯科 "
"東京都中央区日本橋久松町10-8 3F","日本橋浜町矯正歯科"
"東京都中央区月島2-15-16 清月2・3F","月島矯正歯科"
"東京都中央区新富2-5-6 ","医療法人社団 秀睦会 榎本歯科医院"
"東京都中央区銀座6-14-5 銀座ホウライビル2F","医療法人社団 綴理会 大山歯科クリニック"
"東京都中央区日本橋蛎殻町2-2-4","水天宮前かきがら歯科・口腔外科"
"東京都中央区日本橋茅場町2-8-1 BRICK GATE 茅場町1F","日本橋ひびき矯正歯科"
"東京都中央区銀座6-13-9 GIRAC GINZA302","銀座HINA矯正歯科"
"東京都中央区銀座6-13-9 GIRAC GINZA302","銀座HINA矯正歯科"
"東京都中央区銀座7-5-5 長谷第1ビル6F-B","銀座並木通りさゆみ矯正歯科デンタルクリニック"
"東京都中央区銀座7-5-5 長谷第一ビル6B","銀座並木通りさゆみ矯正歯科デンタルクリニック81"
"東京都中央区銀座6丁目4-9 SANWA GINZA Bldg. 5F","ユニゾン矯正歯科 銀座6丁目"
"東京都中央区銀座6-4-9 Sanwa Ginza Bldg. 5F","ユニゾン矯正歯科 銀座6丁目"
"東京都中央区銀座5-9-13 中村ビル5F","横田歯科診療所"
"東京都中央区勝どき1-13-6-2F","つがわ歯科・矯正歯科"
"東京都中央区銀座3-3-14 銀座グランディアⅡ6F","銀座矯正歯科"
"東京都中央区八丁堀3-1-5 アルカディア八丁堀ビル3階","高橋矯正歯科診療所"
"東京都中央区勝どき4-9-8 1F","かちどきこども・矯正歯科"
"東京都中央区銀座3丁目3-15 銀座アベニュービル4F","銀座アベニュー矯正歯科"
"東京都中央区銀座4-10-6 銀料ビル3F","銀座EAST矯正歯科"
"東京都中央区日本橋茅場町2-7-1 CCICビル1F","日本橋はやし矯正歯科"
"東京都中央区銀座3-3-14 銀座グランディアビルⅡ6F","医療法人社団真美会 銀座矯正歯科"
"東京都中央区日本橋本石町4-5-16 ","医療法人社団 恵清会 福本歯科"
"東京都中央区銀座4-3-10 モトキNビル3F","医療法人社団 光雄会 文野矯正歯科"
"東京都中央区日本橋本町1-1-5 日本橋TNビル4F","エムアンドアソシエイツ矯正歯科"
"東京都中央区日本橋人形町2-1-7 リビオ日本橋人形町202","日本橋人形町歯科"
"東京都中央区銀座1丁目16-7 友泉銀座ビル1F","銀座さくら通り歯科"
"東京都中央区日本橋蛎殻町1-15-7 小林洋行ビル2号館1F","メープル矯正歯科"
"東京都中央区銀座6-7-16 岩月ビル202","銀座クリアデンタル"
"東京都中央区八重洲2丁目4-10 ","高橋矯正歯科診療所"
"東京都中央区日本橋室町2-4-1 浮世小路千疋屋ビル4F","医療法人社団 Teeth Alignment 東京日本橋AQUA歯科・矯正歯科 包括CLINIC"
