"address","hostpital"
"東京都大田区南馬込5-42-3 ニュートーア馬込207","あいがせ矯正歯科"
"東京都品川区西五反田5-9-2 アスペンシティ304","ブラン鮎澤矯正歯科"
"東京都立川市柴崎町3-7-16 立川ワシントンホテル2F","医療法人 新井矯正歯科"
"東京都墨田区錦糸1-4-13 金友堂ビル6階","あらかわ矯正歯科"
"東京都多摩市関戸1-11-1 京王聖蹟桜ヶ丘ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰA館2F","せきど矯正小児歯科"
"東京都渋谷区猿楽町24-7 代官プラザ3F","ヒルサイドビュー矯正歯科"
"東京都中央区日本橋久松町10-8 3F","日本橋浜町矯正歯科"
"東京都八王子市子安町4-6-1 Phiビル3F","医療法人社団 晋和会 市川矯正歯科医院"
"東京都渋谷区神宮前3-23-3 トリニティービル801","神宮前矯正歯科"
"東京都文京区本郷1-33-6 ヘミニスⅡ 2F","アールエフ矯正歯科"
"東京都文京区湯島1-5-45","東京医科歯科大学大学院医歯学総合研究科咬合機能矯正学分野"
"東京都文京区湯島1-5-45","東京医科歯科大学大学院医歯学総合研究科咬合機能矯正学分野"
"東京都文京区湯島1-5-45","東京医科歯科大学大学院医歯学総合研究科咬合機能矯正学分野"
"東京都西東京市富士町4-33-10 ","おおうち矯正歯科小児歯科ｸﾘﾆｯｸ"
"東京都港区南青山5-1-22 青山ライズスクエア3F","医療法人社団 大坪矯正歯科医院"
"東京都渋谷区恵比寿西1-30-14 エコー代官山204","代官山矯正歯科"
"東京都豊島区東池袋1-14-10 ポプラビル10F","医療法人社団四誓会 尾﨑矯正歯科クリニック"
"東京都豊島区東池袋1-14-10 ポプラビル10F","医療法人社団 四誓会 尾﨑矯正歯科クリニック"
"東京都豊島区東池袋1-14-10 ポプラビル10F","医療法人社団 四誓会 尾﨑矯正歯科クリニック"
"東京都目黒区洗足2-6-10 洗足スクエアビル2F、3F","矯正歯科：洗足スクエア歯科医院"
"東京都文京区本郷1-33-8 ハウス本郷ビル5F","小野矯正歯科クリニック"
"東京都千代田区三崎町2-9-18 ","東京歯科大学水道橋病院矯正歯科"
"東京都文京区湯島1-5-45","東京医科歯科大学大学院医歯学総合研究科咬合機能矯正学分野"
"東京都目黒区鷹番3-11-9-2F","カトウ矯正歯科クリニック"
"東京都葛飾区新小岩1-57-7 ","矯正歯科加藤歯科医院"
"東京都目黒区大橋2-23-1 西渋谷ハイウェイビル4F","かみやす矯正歯科"
"東京都品川区東五反田5-28-9 第三花谷ビル3F","医療法人社団矯美会 小坂矯正歯科"
"東京都品川区東五反田5-28-9 第三花谷ビル3F","医療法人社団矯美会 小坂矯正歯科"
"東京都世田谷区用賀4-4-8 第2福島ビル3F","はしば矯正歯科"
"東京都中央区銀座7-5-5 長谷第一ビル6B","銀座並木通りさゆみ矯正歯科デンタルクリニック81"
"東京都千代田区神田駿河台3-6-1 菱和ビル1F","坂本矯正歯科クリニック"
"東京都大田区蒲田5-11-8 千代ビル3F","医療法人社団グッドスマイル会 ささき矯正歯科"
"東京都新宿区高田馬場3-3-1 ユニオン駅前ビル4F","さとう矯正歯科"
"東京都渋谷区渋谷1-8-7 第27SYビル10階A","医療法人社団 白翠会　渋谷矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部歯科矯正学講座"
"東京都武蔵野市吉祥寺本町1-11-26-2F","渡辺矯正歯科"
"東京都渋谷区神宮前4-16-3-Ｂ1F ","医療法人矯晶会 杉山矯正歯科"
"東京都世田谷区祖師谷3-32-5 石田ビル3F","高橋矯正歯科クリニック"
"東京都千代田区神田神保町2-9 神田神保町メディカルモール2F","医療法人社団審和会 KAZ矯正歯科"
"東京都港区北青山3-5-44 HT青山4F","医療法人社団 表参道髙柳矯正歯科"
"東京都足立区千住2-18 田辺ビル2F","医療法人社団 健美会 北千住矯正歯科"
"東京都千代田区九段南2-5-7 ","医療法人社団 至誠会 イーライン矯正歯科"
"東京都千代田区神田三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都世田谷区経堂2-19-8 ","たぶち矯正歯科医院"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都江戸川区西葛西3-15-9 共栄ビル6F","田村矯正歯科"
"東京都世田谷区代田6-3-27 アゼリアハウス3F","下北沢矯正歯科"
"東京都新宿区新宿4-3-22 安藤ビル5F","医療法人社団真歯会 常盤矯正歯科医院"
"東京都目黒区下目黒1-6-3 朝日下目黒マンション1F","中尾矯正歯科医院"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部附属歯科病院歯科矯正科"
"東京都大田区北千束2-1-1 ","昭和大学歯学部歯科矯正学講座"
"東京都豊島区駒込1-43-13 朝美ビル2F","なかむら矯正歯科"
"東京都世田谷区奥沢5-24-10 小野ビル3F","自由が丘矯正歯科クリニック"
"東京都世田谷区奥沢5-24-10 小野ビル3F","医療法人　スマイルデザイン自由が丘矯正歯科クリニック"
"東京都千代田区三崎町2-9-18","東京歯科大学歯科矯正学講座"
"東京都世田谷区北沢2-21-26 1F","オーラルデザイン下北沢・矯正歯科"
"東京都府中市宮町1-23-9 中野ビル2F","アルファ矯正歯科"
"東京都狛江市東和泉1-15-8 フェイスビル3F","のむら矯正歯科"
"東京都新宿区揚場町2-19 徳ビル5F","医療法人社団瑞祥会 飯田橋矯正歯科"
"東京都北区赤羽2-49-7 山陽ビル3F","医療法人社団 赤羽矯正歯科"
"東京都文京区本郷4-24-8 春日タワービル5F","ひきた矯正歯科"
"東京都世田谷区南烏山5丁目20-16-201","ひさの矯正歯科"
"東京都世田谷区太子堂2-12-2-6F","ひらの矯正歯科クリニック"
"東京都江戸川区西葛西6-16-4 ","広瀬矯正歯科"
"東京都世田谷区経堂2-27-11","ふなき矯正歯科 経堂クリニック"
"東京都世田谷区経堂2-27-11 ","ふなき矯正歯科経堂クリニック"
"東京都文京区湯島1-5-45 ","東京医科歯科大学大学院医歯学総合研究科　咬合機能矯正学分野"
"東京都練馬区中村北3-22-14 ","歯科矯正専門なかむらばしデンタルクリニック"
"東京都大田区蒲田5-26-8 アーデル蒲田1F","みなみ歯科・矯正歯科"
"東京都大田区北千束2-1-1 ","昭和大学歯学部歯科矯正学教室"
"東京都杉並区阿佐谷北4-1-23","松井矯正歯科クリニック"
"東京都港区赤坂5-2-20 赤坂パークビル2F","赤坂まつの矯正歯科"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部歯科矯正学講座"
"東京都北区王子1-16-7 石井ビル3F","王子みのうら矯正歯科"
"東京都西東京市谷戸町2-15-11 ひばりケ丘高野ビル6F","みむら矯正歯科"
"東京都千代田区三崎町2-9-18 ","東京歯科大学水道橋病院矯正歯科"
"東京都八王子市子安町4-6-1 Phiビル3F","医療法人社団 晋和会 市川矯正歯科医院"
"東京都千代田区神田駿河台1-8-13 ","日本大学歯学部歯科矯正学講座"
"東京都品川区南大井6-28-12 ヒューリック大森ビル5F","医療法人社団PEACH もも矯正歯科"
"東京都北区岸町1-2-13-2F ","フォレスト歯科矯正歯科"
