"address","hostpital"
"東京都世田谷区桜丘2-29-11-2F ","池田歯科クリニック"
"東京都世田谷区玉川3-20-1 名川ビル3F","二子玉川ガーデン矯正歯科"
"東京都世田谷区成城8-33-8 ","成城歯科・矯正医院"
"東京都世田谷区船橋1-9-5","千歳船橋おおむら歯科・矯正歯科"
"東京都世田谷区桜1-65-6 JM経堂1F","経堂さくら矯正歯科"
"東京都世田谷区等々力3-5-2  ヒューリック等々力2F","等々力歯科室"
"東京都世田谷区玉川3-6-12 第7明友ビル3F","二子玉川矯正歯科"
"東京都世田谷区成城2-40-5-2F ","成城矯正歯科クリニック"
"東京都世田谷区喜多見8-15-24","古賀矯正歯科クリニック"
"東京都世田谷区喜多見8-15-24 ","古賀矯正歯科クリニック"
"東京都世田谷区用賀4-4-8 第2福島ビル3F","はしば矯正歯科"
"東京都世田谷区奥沢5-20-17 自由が丘ユングフラウビル4F","アップル歯列矯正歯科自由が丘"
"東京都世田谷区祖師谷1-11-7-2F","そしがや矯正歯科"
"東京都世田谷区北沢2-19-17 サザン石井ビル3F","酒井矯正歯科クリニック"
"東京都世田谷区玉川3-10-11 TK第1ビル3F","スマイル+さくらい歯列矯正歯科二子玉川"
"東京都世田谷区玉川3-10-11 TK第1ビル3F","スマイル+さくらい歯列矯正歯科二子玉川"
"東京都世田谷区大蔵2-10-1","生育医療研究センター 感覚器・形態外科部歯科"
"東京都世田谷区上野毛1-18-14 ハイツ上野毛102 ","レイデンタルオフィス"
"東京都世田谷区奥沢5-27-5 魚采プラザ2階","医療法人社団 歯正会 矯正・自由が丘歯科室"
"東京都世田谷区祖師谷3-32-5 石田ビル3F","高橋矯正歯科クリニック"
"東京都世田谷区瀬田1-3-14 ","アルファクリニック"
"東京都世田谷区用賀4-9-22-1F","ふくだ歯科クリニック"
"東京都世田谷区代田6-6-1 B1F","こどもの歯医者さん"
"東京都世田谷区経堂2-19-8 ","たぶち矯正歯科医院"
"東京都世田谷区桜新町1-14-12 小泉ＴＫビル2F","つちや矯正歯科"
"東京都世田谷区代田6-3-27 アゼリアハウス3F","下北沢矯正歯科"
"東京都世田谷区奥沢5-24-10 小野ビル3F","自由が丘矯正歯科クリニック"
"東京都世田谷区奥沢5-24-10 小野ビル3F","医療法人　スマイルデザイン自由が丘矯正歯科クリニック"
"東京都世田谷区太子堂4-23-12 井上ビル3F","三軒茶屋矯正歯科クリニック"
"東京都世田谷区北沢2-21-26 1F","オーラルデザイン下北沢・矯正歯科"
"東京都世田谷区太子堂4-25-13 エルムプラザ201号室","ねぎし矯正歯科"
"東京都世田谷区北沢2-27-12 林ビル2F","歯科･矯正歯科　林歯科室"
"東京都世田谷区大蔵2-10-1 ","（独）国立成育医療研究センター 小児歯科・矯正歯科"
"東京都世田谷区南烏山5丁目20-16-201","ひさの矯正歯科"
"東京都世田谷区太子堂2-12-2-6F","ひらの矯正歯科クリニック"
"東京都世田谷区代田6-7-24-2Ｃ","医療法人社団敬榮会 藤城矯正歯科"
"東京都世田谷区経堂2-27-11","ふなき矯正歯科 経堂クリニック"
"東京都世田谷区経堂2-27-11 ","ふなき矯正歯科経堂クリニック"
"東京都世田谷区奥沢6-5-11-1F ","とし歯科クリニック 矯正歯科・小児歯科"
"東京都世田谷区桜新町1-14-12 小泉TKビル2F","つちや矯正歯科"
"東京都世田谷区三軒茶屋1-36-2 ＳＡＮＪＡ108ビル　2F","宮坂矯正歯科医院"
"東京都世田谷区太子堂4-23-15 T-ハウス三軒茶屋2F","三軒茶屋マルオ歯科"
"東京都世田谷区経堂1-21-2 しぷれす経堂1F","ウィズ矯正歯科クリニック"
"東京都世田谷区奥沢5-20-17 自由が丘ユングフラウビル4F","アップル歯列矯正歯科自由が丘"
"東京都世田谷区駒沢4-18-17 ル・ヴェール1階","駒沢よしや矯正歯科"
"東京都世田谷区代沢5-19-13 1F","下北沢茶沢通り矯正歯科"
