"address","hostpital"
"東京都渋谷区猿楽町24-7 代官プラザ3F","ヒルサイドビュー矯正歯科"
"東京都渋谷区神宮前3-23-3 トリニティービル801","神宮前矯正歯科"
"東京都渋谷区初台1-11-4-1F","フィールズ歯科・矯正歯科"
"東京都渋谷区神宮前4-16-3-Ｂ1","杉山矯正歯科"
"東京都渋谷区恵比寿西1-30-14 エコー代官山204","代官山矯正歯科"
"東京都渋谷区道玄坂2-9-9 光真ビル2F","渋谷かたおか歯科"
"東京都渋谷区宇田川町23-3-6F","スマイルコンセプト矯正歯科渋谷クリニック"
"東京都渋谷区神宮前4-16-3","杉山矯正歯科医院"
"東京都渋谷区渋谷2-15-1 渋谷クロスタワー21F","日本矯正歯科研究所附属デンタルクリニック"
"東京都渋谷区渋谷2-15-1 渋谷クロスタワー21F","日本矯正歯科研究所附属デンタルクリニック"
"東京都渋谷区西原3-2-4 丸幸ビル1F","代々木上原矯正歯科"
"東京都渋谷区渋谷1-8-7 第27SYビル10階A","医療法人社団 白翠会　渋谷矯正歯科"
"東京都渋谷区代々木1-18-3 ","菅原矯正歯科診療所"
"東京都渋谷区神宮前4-16-3-Ｂ1F ","医療法人矯晶会 杉山矯正歯科"
"東京都渋谷区千駄ヶ谷1-24-7-1階","千駄ヶ谷・中村矯正歯科室"
"東京都渋谷区神宮前4-16-3","杉山矯正歯科"
"東京都渋谷区恵比寿1-20-27 エストビル2F","恵比寿エスト矯正歯科"
"東京都渋谷区恵比寿1-20-27 エストエビス2F","恵比寿エスト矯正歯科"
"東京都渋谷区神宮前6-9-6 ","神宮前原崎歯科医院"
"東京都渋谷区神南1-22-8 渋谷東日本ビル9F","医療法人社団まる歯 渋谷歯科"
"東京都渋谷区神宮前4-16-3 B1","杉山矯正歯科医院"
"東京都渋谷区恵比寿1-9-5 恵比寿STビル401","牧野歯科・矯正歯科"
"東京都渋谷区恵比寿1-7-12　久保ビル3F ","恵比寿ますだ矯正歯科 "
"東京都渋谷区渋谷1-9-8 宮益坂センスビル4F","医療法人社団 快美会 松野矯正歯科クリニック"
"東京都渋谷区宇田川町16-8 渋谷センタービル4F","矢野矯正歯科クリニック"
"東京都渋谷区渋谷2-9-9 SANWA青山ビルB1F","矢野矯正歯科クリニック"
"東京都渋谷区宇田川町33-1 グランド東京渋谷7F","渋谷セントラル矯正歯科"
"東京都渋谷区神宮前4-16-3-Ｂ1F ","杉山矯正歯科"
"東京都渋谷区富ヶ谷1-53-2 301 ","吉富歯科医院"
